gr,rgr,
[d-1],[d-1],
0.0007625407,0.031279525,
0.00083879477,0.020923221,
0.00091504884,0.012415183,
0.00099130291,0.0067736853,
0.001067557,0.003504766,
0.0011438111,0.0017546626,
0.0012200651,0.00085968017,
0.0012963192,0.00041462145,
0.0013725733,0.00019744178,
0.0014488273,9.2973363E-5,
0.0015250814,4.3326228E-5,
0.0016013355,1.9989271E-5,
0.0016775895,9.1326209E-6,
0.0017538436,4.1323795E-6,
0.0018300977,1.8519906E-6,
0.0019063517,8.2209393E-7,
0.0019826058,3.6144819E-7,
0.0020588599,1.5739854E-7,
0.002135114,6.7883668E-8,
0.002211368,2.8994302E-8,
0.0022876221,1.2263351E-8,
