-140,096	0,9995
-140,892	0,9995
-141,688	0,9995
-142,484	0,9995
-143,28	0,9995
-144,076	0,9995
-144,872	0,9995
-145,668	0,9995
-146,464	0,9995
-147,26	0,9995
-148,056	0,9995
-148,852	0,9995
-149,648	0,9995
-150,444	0,9995
-151,24	0,9995
-152,036	0,9995
-152,832	0,9995
-153,628	0,99947
-154,424	0,99947
-155,22	0,99947
-156,016	0,99947
-156,812	0,99947
-157,608	0,99947
-158,404	0,99947
-159,2	0,99947
-159,996	0,99947
-160,792	0,99947
-161,588	0,99947
-162,384	0,99947
-163,18	0,99947
-163,976	0,99947
-164,772	0,99947
-165,568	0,99947
-166,364	0,99947
-167,16	0,99947
-167,956	0,99947
-168,752	0,99947
-169,548	0,99947
-170,344	0,99947
-171,14	0,99944
-171,936	0,99944
-172,732	0,99944
-173,528	0,99944
-174,324	0,99944
-175,12	0,99944
-175,916	0,99944
-176,712	0,99944
-177,508	0,99944
-178,304	0,99944
-179,1	0,99944
-179,896	0,99944
-180,692	0,99944
-181,488	0,99944
-182,284	0,99944
-183,08	0,99944
-183,876	0,99944
-184,672	0,99944
-185,468	0,99944
-186,264	0,99944
-187,06	0,99944
-187,856	0,99944
-188,652	0,99944
-189,448	0,99941
-190,244	0,99941
-191,04	0,99941
-191,836	0,99933
-192,632	0,99933
-193,428	0,99933
-194,224	0,99933
-195,02	0,99933
-195,816	0,99933
-196,612	0,99933
-197,408	0,99933
-198,204	0,99933
-199	0,99931
-199,796	0,99931
-200,592	0,99931
-201,388	0,99918
-202,184	0,99918
-202,98	0,99893
-203,776	0,84928
-204,572	0,84928
-205,368	0,84928
-206,164	0,84928
-206,96	0,84928
-207,756	0,84929
-208,552	0,84929
-209,348	0,84929
-210,144	0,84929
-210,94	0,84929
-211,736	0,84929
-212,532	0,84929
-213,328	0,84929
-214,124	0,84929
-214,92	0,84929
-215,716	0,84929
-216,512	0,84929
-217,308	0,84929
-218,104	0,84924
-218,9	0,84924
-219,696	0,84924
-220,492	0,84924
-221,288	0,84924
-222,084	0,84924
-222,88	0,84924
-223,676	0,84924
-224,472	0,84924
-225,268	0,84924
-226,064	0,84924
-226,86	0,84924
-227,656	0,84924
-228,452	0,84924
-229,248	0,84924
-230,044	0,84918
-230,84	0,84912
-231,636	0,84909
-232,432	0,84909
-233,228	0,84909
-234,024	0,84909
-234,82	0,84909
-235,616	0,84909
-236,412	0,84901
-237,208	0,84901
-238,004	0,84901
-238,8	0,84901
-239,596	0,84901
-240,392	0,84901
-241,188	0,84901
-241,984	0,84901
-242,78	0,84901
-243,576	0,84901
-244,372	0,84901
-245,168	0,84901
-245,964	0,84901
-246,76	0,84876
-247,556	0,84876
-248,352	0,84876
-249,148	0,84876
-249,944	0,84876
-250,74	0,84872
-251,536	0,84872
-252,332	0,84872
-253,128	0,84872
-253,924	0,84872
-254,72	0,84872
-255,516	0,84872
-256,312	0,84872
-257,108	0,84856
-257,904	0,84856
-258,7	0,84856
-259,496	0,84856
-260,292	0,84856
-261,088	0,84856
-261,884	0,84856
-262,68	0,84856
-263,476	0,84731
-264,272	0,84731
-265,068	0,84731
-265,864	0,84731
-266,66	0,74831
-267,456	0,74831
-268,252	0,74831
-269,048	0,74831
-269,844	0,74809
-270,64	0,74809
-271,436	0,74809
-272,232	0,74809
-273,028	0,74809
-273,824	0,74809
-274,62	0,74809
-275,416	0,74809
-276,212	0,74758
-277,008	0,74752
-277,804	0,74751
-278,6	0,74751
-279,396	0,74751
-280,192	0,74629
-280,988	0,74629
-281,784	0,74629
-282,58	0,74629
-283,376	0,74629
-284,172	0,74629
-284,968	0,4988
-285,764	0,49878
-286,56	0,49878
-287,356	0,49878
-288,152	0,49878
-288,948	0,49878
-289,744	0,49878
-290,54	0,49878
-291,336	0,49878
-292,132	0,49878
-292,928	0,49863
-293,724	0,49863
-294,52	0,49863
-295,316	0,49863
-296,112	0,49863
-296,908	0,49863
-297,704	0,49863
