Time  Height  LAI  ShootN  SumSoilNUptakeGrowth
[d] [m] [] [g/m²] [g/m²]
39234   0.021180919   0.0371595071428571    .   .  
39245   0.058670704   0.10293105975   0.096067061   0.096067061   
39249   0.0956586284285714   0.167822155    .   .  
39260   0.235907482142857   0.413872776142857    .   .  
39265   0.184371556   0.32345886975    .   .  
39285   0.586308709285714   1.02861177071429    .   .  
39286    .   .  1.01278484933333   1.01278484933333   
39302   1.35170451428571   2.37141142857143    .   .  
39306   1.291997625   2.2666625    .   .  
39308    .   .  2.23726901866667   2.23726901866667   
39316   1.30215522857143   2.28448285714286    .   .  
39329   1.47458674285714   2.58699428571429   3.16051002466667   3.16051002466667   
39344   1.47458674285714   2.58699428571429    .   .  
39352   1.4359383   2.51919   4.70198362025   4.70198362025   
39364    .   .  5.83986734475   5.83986734475   
