													Vol%	Vol%	Vol%	Vol%
Erntejahr	VN	Standort	Reihe	Spalte	Fruchtfolge	FF-Glied	N-Form	N-Menge	Block	Aufwuchs	Methode	Datum	WAS 0-30 /5-25	WAS 30-60 / 30-50	WAS 60-90 / 60-80	WAS 90-110
2007	112	2	15	4	4	1	2	4	4	1	grav	08.03.2007	0.28	0.27	0.273333333	.
2007	112	2	15	6	1	1	3	4	4	1	grav	08.03.2007	0.283333333	0.29	0.23	.
2007	112	2	16	1	1	1	2	3	4	1	grav	08.03.2007	0.243333333	0.22	0.276666667	.
2007	112	2	16	3	4	1	4	3	4	1	grav	08.03.2007	0.236666667	0.196666667	0.223333333	.
2007	112	2	1	1	4	1	3	4	1	4	grav	08.10.2007	0.306514236	0.18314619	0.30508857	.
2007	112	2	1	2	1	1	2	4	1	1	grav	08.10.2007	0.312060097	0.181498572	0.207813799	.
2007	112	2	1	3	4	1	4	3	1	4	grav	08.10.2007	0.349901639	0.245438997	0.224387111	.
2007	112	2	1	4	1	1	1	4	1	1	grav	08.10.2007	0.273296831	0.293916024	0.262666824	.
2007	112	2	1	5	1	1	1	2	1	1	grav	08.10.2007	0.258085842	0.214966866	0.211666667	.
2007	112	2	1	6	4	1	1	2	1	4	grav	08.10.2007	0.260572896	0.16697387	0.194153337	.
2007	112	2	2	1	1	1	3	4	1	1	grav	08.10.2007	0.250197879	0.230225292	0.175151675	.
2007	112	2	2	2	4	1	4	2	1	4	grav	08.10.2007	0.301981861	0.163166201	0.195810364	.
2007	112	2	2	3	4	1	1	3	1	4	grav	08.10.2007	0.276606426	0.188585608	0.22465414	.
2007	112	2	2	4	1	1	5	4	1	1	grav	08.10.2007	0.26397383	0.228712096	0.249863014	.
2007	112	2	2	5	1	1	2	3	1	1	grav	08.10.2007	0.263879731	0.166136893	0.180634878	.
2007	112	2	2	6	4	1	2	3	1	4	grav	08.10.2007	0.264643463	0.173764518	0.159261957	.
2007	112	2	3	1	4	1	4	4	1	4	grav	08.10.2007	0.266994016	0.141414141	0.101429728	.
2007	112	2	3	2	1	1	1	3	1	1	grav	08.10.2007	0.247977814	0.141609881	0.137466307	.
2007	112	2	3	3	4	1	1	4	1	4	grav	08.10.2007	0.284018679	0.179956427	0.17573111	.
2007	112	2	3	4	4	1	2	2	1	4	grav	08.10.2007	0.307295574	0.245782472	0.243037975	.
2007	112	2	3	5	4	1	2	4	1	4	grav	08.10.2007	0.295302512	0.23109405	0.198916162	.
2007	112	2	3	6	4	1	5	4	1	4	grav	08.10.2007	0.29245283	0.167420155	0.120552532	.
2007	112	2	4	1	1	1	4	2	1	1	grav	08.10.2007	0.257152418	0.132172319	0.19693301	.
2007	112	2	4	2	1	1	1	1	1	1	TDR	13.02.2007	.	.	.	.
2007	112	2	4	3	4	1	1	1	1	4	grav	08.10.2007	0.275892507	0.162813785	0.182198953	.
2007	112	2	4	4	1	1	4	4	1	1	grav	08.10.2007	0.249771341	0.155902004	0.125344061	.
2007	112	2	4	5	1	1	2	2	1	1	grav	08.10.2007	0.292735043	0.186087727	0.106900329	.
2007	112	2	4	6	1	1	4	3	1	1	grav	08.10.2007	0.283229055	0.205617496	0.10538232	.
2007	112	2	5	1	1	1	1	3	2	1	grav	08.10.2007	0.23510255	0.104678185	0.139213349	.
2007	112	2	5	2	1	1	2	4	2	1	grav	08.10.2007	0.259629853	0.113703751	0.105371901	.
2007	112	2	5	3	1	1	2	3	2	1	grav	08.10.2007	0.26266983	0.098529872	0.13797768	.
2007	112	2	5	4	4	1	5	4	2	4	grav	08.10.2007	0.279173515	0.182279337	0.105336105	.
2007	112	2	5	5	1	1	1	4	2	1	grav	08.10.2007	0.249529443	0.109772423	0.101473606	.
2007	112	2	5	6	4	1	2	4	2	4	grav	08.10.2007	0.290239373	0.114908223	0.09730669	.
2007	112	2	6	1	4	1	1	4	2	4	grav	08.10.2007	0.27247605	0.106022358	0.12754189	.
2007	112	2	6	2	4	1	4	2	2	4	grav	08.10.2007	0.265492958	0.100893629	0.123399661	.
