39041; 32; 32; 32; 0; 32; 32; 32; 32; 32; 32; 32; 0; 32; 32; 32; 32
39048; 80; 80; 80; 0; 79; 80; 80; 79; 80; 80; 80; 0; 79; 80; 80; 79
39120; 0; 20; 20; 19; 0; 0; 0; 0; 0; 20; 20; 19; 0; 0; 0; 0
39126; 0; 11; 11; 12; 0; 0; 0; 0; 0; 11; 11; 12; 0; 0; 0; 0
39127; 0; 24; 24; 24; 0; 0; 0; 0; 0; 24; 24; 24; 0; 0; 0; 0
39133; 0; 12; 11; 12; 0; 0; 0; 0; 0; 12; 11; 12; 0; 0; 0; 0
39141; 0; 24; 24; 24; 0; 0; 0; 0; 0; 24; 24; 24; 0; 0; 0; 0
39147; 0; 12; 12; 12; 0; 0; 0; 0; 0; 12; 12; 12; 0; 0; 0; 0
39148; 80; 80; 80; 0; 80; 79; 79; 79; 80; 80; 80; 0; 80; 79; 79; 79
39149; 32; 32; 32; 0; 32; 32; 25; 32; 32; 32; 32; 0; 32; 32; 25; 32
39155; 0; 24; 24; 24; 0; 0; 0; 0; 0; 24; 24; 24; 0; 0; 0; 0
39161; 0; 8; 8; 8; 0; 0; 0; 0; 0; 8; 8; 8; 0; 0; 0; 0
39163; 0; 4; 4; 4; 0; 0; 0; 0; 0; 4; 4; 4; 0; 0; 0; 0
39169; 0; 24; 24; 22; 0; 0; 0; 0; 0; 24; 24; 22; 0; 0; 0; 0
39177; 0; 12; 12; 10; 0; 0; 0; 0; 0; 12; 12; 10; 0; 0; 0; 0
39183; 0; 24; 24; 24; 0; 0; 0; 0; 0; 24; 24; 24; 0; 0; 0; 0
39190; 0; 12; 12; 12; 0; 0; 0; 0; 0; 12; 12; 12; 0; 0; 0; 0
39197; 0; 24; 24; 24; 0; 0; 0; 0; 0; 24; 24; 24; 0; 0; 0; 0
39204; 0; 24; 24; 24; 0; 0; 0; 0; 0; 24; 24; 24; 0; 0; 0; 0
39210; 0; 70; 69; 58; 0; 0; 0; 0; 0; 70; 69; 58; 0; 0; 0; 0
39212; 63; 63; 0; 0; 63; 63; 0; 0; 63; 63; 0; 0; 63; 63; 0; 0
39218; 0; 15; 15; 15; 0; 0; 0; 0; 0; 15; 15; 15; 0; 0; 0; 0
39225; 0; 49; 52; 43; 0; 0; 0; 0; 0; 49; 52; 43; 0; 0; 0; 0
39227; 0; 26; 24; 23; 0; 0; 0; 0; 0; 26; 24; 23; 0; 0; 0; 0
39232; 0; 24; 20; 24; 0; 0; 0; 0; 0; 24; 20; 24; 0; 0; 0; 0
39239; 0; 78; 81; 67; 0; 0; 0; 0; 0; 78; 81; 67; 0; 0; 0; 0
39240; 64; 64; 0; 0; 64; 64; 0; 0; 64; 64; 0; 0; 64; 64; 0; 0
39246; 0; 24; 23; 23; 0; 0; 0; 0; 0; 24; 23; 23; 0; 0; 0; 0
39252; 0; 12; 12; 12; 0; 0; 0; 0; 0; 12; 12; 12; 0; 0; 0; 0
39253; 0; 55; 57; 45; 0; 0; 0; 0; 0; 55; 57; 45; 0; 0; 0; 0
39254; 0; 11; 12; 10; 0; 0; 0; 0; 0; 11; 12; 10; 0; 0; 0; 0
39260; 0; 16; 16; 15; 0; 0; 0; 0; 0; 16; 16; 15; 0; 0; 0; 0
39267; 110; 179; 113; 53; 110; 110; 48; 48; 110; 179; 113; 53; 110; 110; 48; 48
39275; 0; 24; 24; 22; 0; 0; 0; 0; 0; 24; 24; 22; 0; 0; 0; 0
39281; 0; 70; 69; 56; 0; 0; 0; 0; 0; 70; 69; 56; 0; 0; 0; 0
39288; 0; 24; 24; 22; 0; 0; 0; 0; 0; 24; 24; 22; 0; 0; 0; 0
39295; 64; 121; 56; 42; 64; 64; 0; 0; 64; 121; 56; 42; 64; 64; 0; 0
39297; 48; 48; 47; 0; 48; 48; 48; 48; 48; 48; 47; 0; 48; 48; 48; 48
39302; 0; 36; 37; 35; 0; 0; 0; 0; 0; 36; 37; 35; 0; 0; 0; 0
39309; 0; 57; 56; 42; 0; 0; 0; 0; 0; 57; 56; 42; 0; 0; 0; 0
39316; 0; 24; 24; 22; 0; 0; 0; 0; 0; 24; 24; 22; 0; 0; 0; 0
39323; 0; 81; 80; 45; 0; 0; 0; 0; 0; 81; 80; 45; 0; 0; 0; 0
39324; 32; 32; 0; 0; 32; 32; 0; 0; 32; 32; 0; 0; 32; 32; 0; 0
