39041; 0; 0; 0; 0; 0; 0; 0; 0
39048; 0; 0; 0; 0; 0; 0; 0; 0
39120; 0; 0; 0; 0; 0; 0; 0; 0
39126; 0; 0; 0; 0; 0; 0; 0; 0
39127; 0; 0; 0; 0; 0; 0; 0; 0
39133; 0; 0; 0; 0; 0; 0; 0; 0
39141; 0; 0; 0; 0; 0; 0; 0; 0
39147; 0; 0; 0; 0; 0; 0; 0; 0
39148; 0; 0; 0; 0; 0; 0; 0; 0
39149; 0; 0; 0; 0; 0; 0; 0; 0
39155; 0; 0; 0; 0; 0; 0; 0; 0
39161; 0; 0; 0; 0; 0; 0; 0; 0
39163; 0; 0; 0; 0; 0; 0; 0; 0
39169; 0; 0; 0; 0; 0; 0; 0; 0
39177; 0; 0; 0; 0; 0; 0; 0; 0
39183; 0; 0; 0; 0; 0; 0; 0; 0
39190; 0; 0; 0; 0; 0; 0; 0; 0
39197; 0; 0; 0; 0; 0; 0; 0; 0
39204; 0; 0; 0; 0; 0; 0; 0; 0
39210; 0; 0; 0; 0; 0; 0; 0; 0
39212; 0; 0; 0; 0; 0; 0; 0; 0
39218; 0; 0; 0; 0; 0; 0; 0; 0
39225; 0; 0; 0; 0; 0; 0; 0; 0
39227; 0; 0; 0; 0; 0; 0; 0; 0
39232; 0; 0; 0; 0; 0; 0; 0; 0
39239; 0; 0; 0; 0; 0; 0; 0; 0
39240; 0; 0; 0; 0; 0; 0; 0; 0
39246; 0; 0; 0; 0; 0; 0; 0; 0
39252; 0; 0; 0; 0; 0; 0; 0; 0
39253; 0; 0; 0; 0; 0; 0; 0; 0
39254; 0; 0; 0; 0; 0; 0; 0; 0
39260; 0; 0; 0; 0; 0; 0; 0; 0
39267; 0; 0; 0; 0; 0; 0; 0; 0
39275; 0; 0; 0; 0; 0; 0; 0; 0
39281; 0; 0; 0; 0; 0; 0; 0; 0
39288; 0; 0; 0; 0; 0; 0; 0; 0
39295; 0; 0; 0; 0; 0; 0; 0; 0
39297; 0; 0; 0; 0; 0; 0; 0; 0
39302; 0; 0; 0; 0; 0; 0; 0; 0
39309; 0; 0; 0; 0; 0; 0; 0; 0
