IniFile;Submodel;EntityType;EntityName;Units;Value;Option;Comment
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;Parameter;Tmin;[°C];0;NA;minimum temperature for assimilation
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;Parameter;Topt_WE;[°C];20;NA;temperature where optimum (value of 1) of WE-function is reached
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;Parameter;Topt1;[°C];10;NA;start of optimum temperature range for assimilation
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;Parameter;Topt2;[°C];20;NA;end of optimum temperature range for assimilation
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;ExternalValue;CO2pp;[ppm];NA;PenMonteith1;external atmospheric CO2-concentration
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;ExternalValue;TMPM;[°C];NA;Q:\WEATHER\Proj_Heat\Wetter_Log_RH_W0_09_10.txt;weighted surface temp.
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;ExternalValue;EC;;NA;Development1;EC or BBCH stage
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;ExternalValue;GAI;[-];NA;HumeWheatLeafArea1;Green area index
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;ExternalValue;GlobRad;[MJ/m²/d];NA;Q:\WEATHER\Proj_Heat\Wetter_Log_RH_W0_09_10.txt;Global radiation
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;ExternalValue;LAI;;NA;[HumeWheatLeafArea1];Leaf area index
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;ExternalValue;NcLeaf;[%];NA;[HumeWheatPartitioning1];External actual nitrogen concentration of the leaf fraction
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;ExternalValue;optSLN;[g/m2];NA;HumeWheatPartitioning1;optimum specific leaf nitrogen concentration
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;ExternalValue;P5;[-];NA;Development1;Development paramter for stage 5 of CERES Wheat
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;ExternalValue;Plants;;NA;[HumeWheatPartitioning1];number of plants per square meter
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;ExternalValue;SLN;[g/m2];NA;[HumeWheatPartitioning1];External specific leaf nitrogen concentration
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;ExternalValue;STMWT_pl;[g/pl];NA;HumeWheatPartitioning1;weight per plant
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;ExternalValue;SUMDTT5;[°Cd];NA;HumeWheatLeafArea1;temperature sum from stage 5 on
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;ExternalValue;SWMIN_pl;[g/pl];NA;HumeWheatPartitioning1;minimum stem weight at stage 37, used for calculation of senescence
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;ExternalValue;TMPM;[°C];NA;Q:\WEATHER\Proj_Heat\Wetter_Log_RH_W0_09_10.txt;mean daily temperature
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;ExternalValue;TMPMN;[°C];NA;Q:\WEATHER\Proj_Heat\Wetter_Log_RH_W0_09_10.txt;minimum daily temperature
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;ExternalValue;TMPMX;[°C];NA;Q:\WEATHER\Proj_Heat\Wetter_Log_RH_W0_09_10.txt;maximum daily temperature
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;ExternalValue;TransIntRatio;[-];NA;SoilNitrogenUp1;ratio of actual to potential transpiration+interception
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;Option;ContOutput; NA;NA;true;Output every time step?
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;Option;FinalOutput; NA;NA;false;Output of final values in separate file?
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;Option;OptCalcTempEffect; NA;NA;wangengel;Selects the function used to calculate the temperature effect on assimilation
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;Option;optCO2; NA;NA;withco2effect;
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;Option;optDroughtimpact; NA;NA;droughtimpact;
Q:\wheateval\ini\Proj_Heat\103_10\HEAT_103_10_W0_HK.ini;HumeWheatDryMatter1;Option;optNimpact; NA;NA;nonimpact;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
