SubModel;EntityType;EntityName;Units;Value;Option;Comment
SoilWaterMod2;Variable;Sink13;[cm.d-1];0;NA;sink vector [cm]
SoilWaterMod2;Variable;Sink14;[cm.d-1];0;NA;sink vector [cm]
SoilWaterMod2;Variable;Sink15;[cm.d-1];0;NA;sink vector [cm]
SoilWaterMod2;Variable;Sink16;[cm.d-1];0;NA;sink vector [cm]
SoilWaterMod2;Variable;Sink17;[cm.d-1];0;NA;sink vector [cm]
SoilWaterMod2;Variable;Sink18;[cm.d-1];0;NA;sink vector [cm]
SoilWaterMod2;Variable;Sink19;[cm.d-1];0;NA;sink vector [cm]
SoilWaterMod2;Variable;Sink20;[cm.d-1];0;NA;sink vector [cm]
SoilWaterMod2;Variable;Sink21;[cm.d-1];0;NA;sink vector [cm]
SoilWaterMod2;Variable;SinkInt__1;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt__2;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt__3;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt__4;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt__5;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt__6;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt__7;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt__8;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt__9;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt_10;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt_11;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt_12;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt_13;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt_14;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt_15;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt_16;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt_17;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt_18;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt_19;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt_20;[cm.d-1];0;NA;
SoilWaterMod2;Variable;SinkInt_21;[cm.d-1];0;NA;
SoilWaterMod2;Variable;sumof_internaltimesteps;[];0;NA;total number of time steps of water balance calculation over simulation period
SoilWaterMod2;Variable;SumPavSoilWater;[mm];0;NA;sum of plant available soil water in entire profile
SoilWaterMod2;Variable;SumPAvSoilWaterRZ;[mm];0;NA;sum of plant available soil water in the rooting zone (down to Weff)
SoilWaterMod2;Variable;SumSoilWater;[mm];0;NA;sum of soil water in entire profile
SoilWaterMod2;Variable;WFlow_1;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow_2;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow_3;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow_4;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow_5;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow_6;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow_7;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow_8;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow_9;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow10;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow11;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow12;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow13;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow14;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow15;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow16;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow17;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow18;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow19;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow20;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlow21;[cm.d-1];0;NA;flow vector [cm/d]
SoilWaterMod2;Variable;WFlowInt_1;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt_2;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt_3;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt_4;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt_5;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt_6;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt_7;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt_8;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt_9;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt10;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt11;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt12;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt13;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt14;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt15;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt16;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt17;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt18;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt19;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt20;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WFlowInt21;[cm.d-1];0;NA;
SoilWaterMod2;Variable;WG_1;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG_2;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG_3;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG_4;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG_5;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG_6;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG_7;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG_8;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG_9;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG0_10;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG0_100;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG0_120;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG0_20;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG0_30;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG0_40;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG0_60;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG0_90;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG10;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG10_30;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG11;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG12;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG13;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG14;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG15;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG16;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG17;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG18;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG19;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG20;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG20_30;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG20_40;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG21;[cm3.cm-3];0.3;NA;soil water content vector [cm3/cm3]
SoilWaterMod2;Variable;WG30_100;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG30_120;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG30_40;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG30_50;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG30_60;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG40_60;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG60_100;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG60_80;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG60_90;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG80_100;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG90_110;[cm3/cm3];0;NA;
SoilWaterMod2;Variable;WG90_120;[cm3/cm3];0;NA;
SoilWaterMod2;Constant;Tiefe_0;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe_1;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe_2;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe_3;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe_4;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe_5;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe_6;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe_7;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe_8;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe_9;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe10;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe11;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe12;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe13;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe14;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe15;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe16;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe17;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe18;[cm];0;NA;
SoilWaterMod2;Constant;Tiefe19;[cm];0;NA;
